got_lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,got_links,got_occurences,got_certainty,got_reconstructedness,got_ipa,got_en,got_pos,substi
afswaírban,V.,"abwischen, auslöschen","wipe away, wipe out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸswɛrban,"wipe_away, wipe_out",v,too long
afta,Adv.,hinten,behind,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,,aɸta,behind,r,"apa, awa, asa, ata, æpæ, æwæ, æsæ, ætæ"
aftana,Adv.,von hinten,from behind,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,,aɸtana,from_behind,r,too long
aftaraanastōdeins,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],certain,form,aɸtaraanastoðins,,n,too long
aftarō,Adv.,"von hinten, hinten","in back of, from behind",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['3'],certain,word,aɸtaro,"in_back_of, from_behind",r,too long
aftaúrnan,V.,abreißen,"tear off, be torn off, become torn off",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸtɔrnan,"tear_off, be_torn_off, become_torn_off",v,too long
aftiuhan,V.,"wegziehen, abziehen, fortziehen","draw off away, pull away, lead away",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['2'],certain,,aɸtɪuhan,"draw_off_away, pull_away, lead_away",v,too long
aftra,Adv.,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['102101'],certain,,aɸtra,"again, back, backwards, once_more",r,"apa, awa, asa, ata, ara, æpæ, æwæ, æsæ, ætæ, æræ"
afta,Adv.,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],certain,,aɸta,"again, back, backwards, once_more",r,"apa, awa, asa, ata, æpæ, æwæ, æsæ, ætæ"
aftraanastōdeins,F.,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸtraanastoðins,"regeneration, regenesis, revival",n,too long
aftaraanastōdeins,F.,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],certain,form,aɸtaraanastoðins,"regeneration, regenesis, revival",n,too long
aftragasatjan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],uncertain,word,aɸtraɣasatjan,,v,too long
aftuma,"Adj., Adj.","letzte, hintere","aftermost, hindmost, last of two parties",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸtuma,"aftermost, hindmost, last_of_two_parties",aa,too long
aftumists,"Adj., Adj.",letzte,"endmost, final (Adj.), the very last",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['5'],certain,,aɸtumɪsts,"endmost, final, the_very_last",aa,too long
afþaúrsiþs,"V., Adj.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],certain,,aɸθɔrsɪθs,,va,too long
afþaúrsjan,V.,"dursten, verdursten, durstig sein (V.)","dessicate, afflict with thirst",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['2'],certain,form,aɸθɔrsjan,"dessicate, afflict_with_thirst",v,too long
afþliuhan,V.,"wegfliehen, fliehen","flee off, run away in flight, escape (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['1'],certain,form,aɸθlɪuhan,"flee_off, run_away_in_flight, escape",v,too long
afþwahan,V.,"sich abwaschen, waschen, sich waschen","lave off, wash off, wash o.s. off",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['3'],certain,,aɸθwahan,"lave_off, wash_off, wash_os_off",v,too long
afurdags,M.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],certain,form,aɸurdaɣs,,n,too long
afwagjan,V.,"bewegen, abbringen","make fluctuate away from, make waver away from, remove (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['1'],certain,form,aɸwaɣjan,"make_fluctuate_away_from, make_waver_away_from, remove",v,too long
afwaírpan,V.,"etwas wegwerfen, weichen (= Pass.), weggenommen werden (= Pass.), fortwerfen","cast aside, throw off",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['4'],certain,,aɸwɛrpan,"cast_aside, throw_off",v,too long
afwalwjan,V.,wegwälzen,"remove by rolling, roll away",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['2'],certain,form,aɸwalwjan,"remove_by_rolling, roll_away",v,too long
afwandjan,V.,"abwenden, vermeiden","turn aside, make turn away from",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['7'],certain,,aɸwandjan,"turn_aside, make_turn_away_from",v,too long
agan,V.,sich fürchten,be afraid of,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɣan,be_afraid_of,v,
agands,"V., Adj.",furchtsam,fearful,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɣands,fearful,va,
agatja,F.,Elster,magpie,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɣatja,magpie,n,too long
agei,F.,"Furchtsamkeit, Ängstlichkeit",timidity,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɣi,timidity,n,"aɣi, aɣe, æɣi, æɣe"
agga,M.,Enge,narrowness,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aŋɡa,narrowness,n,"aŋa, aka, æŋæ, ækæ"
Aggils,M.,Angel (M.),Angle,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aŋɡɪls,Angle,n,
aggilus,M.,"Engel, Bote",angel,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['39'],certain,,aŋɡɪlus,angel,n,too long
aggwei,F.,"Enge, Einschränkung","narrowness, restriction",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɡɡwi,"narrowness, restriction",n,"aki, ake, aŋi, aŋe, awi, awe, æki, æke, æŋi, æŋe, æwi, æwe"
aggweins,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɡɡwins,,n,
aggwiþa,F.,"„Enge“, Bedrängnis","affliction, trouble (N.), plight, anxiety, distress (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['5'],certain,,aɡɡwɪθa,"affliction, trouble, plight, anxiety, distress",n,too long
