"word","time"
"úgy","from_1201_1250"
"-unk/-ünk3","from_1201_1250"
"üdvözít","from_1201_1250"
"vele","from_1201_1250"
"visel","from_1201_1250"
"-zat/-zet","from_1201_1250"
"lel","from_1201_1250"
"herceg","from_1201_1250"
"farok","from_1201_1250"
"tompa","from_1201_1250"
"tata","from_1201_1250"
"tagad","from_1201_1250"
"agyag","from_1201_1250"
"örvény","from_1201_1250"
"konyha","from_1201_1250"
"mezsgye","from_1201_1250"
"bárány","from_1201_1250"
"csütörtök","from_1201_1250"
"villám","from_1201_1250"
"csonka","from_1201_1250"
"meddo","from_1201_1250"
"csíp","from_1201_1250"
"drága","from_1201_1250"
"vitéz","from_1201_1250"
"topáz","from_1201_1250"
"-ika/-ike","from_1201_1250"
"páfrány","from_1201_1250"
"kerecsen","from_1201_1250"
"unoka","from_1201_1250"
"pecér","from_1201_1250"
"szelemen","from_1201_1250"
"rét1","from_1201_1250"
"fekszik","from_1201_1250"
"bolt","from_1201_1250"
"csipa","from_1201_1250"
"csípo","from_1201_1250"
"pénz","from_1201_1250"
"gúzs","from_1201_1250"
"szállás","from_1201_1250"
"zab","from_1201_1250"
"bölcs","from_1201_1250"
"hír","from_1201_1250"
"követ2","from_1201_1250"
"név","from_1201_1250"
"érez","from_1201_1250"
"könny","from_1201_1250"
"függ","from_1201_1250"
"ín","from_1201_1250"
"varsa","from_1201_1250"
"ég1","from_1201_1250"
"ár4","from_1201_1250"
"hagy","from_1201_1250"
"hála","from_1201_1250"
"hold1","from_1201_1250"
"hon","from_1201_1250"
"kemény","from_1201_1250"
"kéreg","from_1201_1250"
"könnyu","from_1201_1250"
"nyavalya","from_1201_1250"
"nyer","from_1201_1250"
"öv","from_1201_1250"
"zsák","from_1201_1250"
"pór","from_1201_1250"
"saru","from_1201_1250"
"tíz","from_1201_1250"
"bagoly","from_1201_1250"
"bölény","from_1201_1250"
"far","from_1201_1250"
"haj1","from_1201_1250"
"hant","from_1201_1250"
"kerék","from_1201_1250"
"küllo1","from_1201_1250"
"pele","from_1201_1250"
"penész","from_1201_1250"
"szatyor","from_1201_1250"
"ük","from_1201_1250"
"vés","from_1201_1250"
"cipó","from_1201_1250"
"háj","from_1201_1250"
"húsz","from_1201_1250"
"küllo2","from_1201_1250"
"réz","from_1201_1250"
"szál","from_1201_1250"
"tetem","from_1201_1250"
"csemete","from_1201_1250"
"hízik","from_1201_1250"
"kalász","from_1201_1250"
"nyír1","from_1201_1250"
"osz2","from_1201_1250"
"szák","from_1201_1250"
"rojt","from_1201_1250"
"alacsony","from_1201_1250"
"furész","from_1201_1250"
"szálka","from_1201_1250"
"huvös","from_1201_1250"
"huny","from_1201_1250"
"csomó","from_1201_1250"
"örv1","from_1201_1250"
"nyúz","from_1201_1250"
"vágyik","from_1201_1250"
"mécs","from_1201_1250"
"csigolya","from_1201_1250"
"dal","from_1201_1250"
"kavics","from_1201_1250"
"tapasz","from_1201_1250"
"rost1","from_1201_1250"
"top","from_1201_1250"
"bukik","from_1201_1250"
"gida","from_1201_1250"
"lompos","from_1201_1250"
"tönk","from_1201_1250"
"dob2","from_1201_1250"
"kacsó","from_1201_1250"
"elso","from_1201_1250"
"méltó","from_1201_1250"
"réce","from_1201_1250"
"fenyo","from_1201_1250"
"szomorú","from_1201_1250"
"sötét","from_1201_1250"
"takar","from_1201_1250"
"völgy","from_1201_1250"
"regös","from_1201_1250"
"arat","from_1201_1250"
"fed","from_1201_1250"
"fegyver","from_1201_1250"
"gonosz","from_1201_1250"
"hivatal","from_1201_1250"
"hús","from_1201_1250"
"húsvét","from_1201_1250"
"oriz","from_1201_1250"
"pap","from_1201_1250"
"üt","from_1201_1250"
"borjú","from_1201_1250"
"csemege","from_1201_1250"
"hagyma","from_1201_1250"
"harang","from_1201_1250"
"lúd","from_1201_1250"
"talp","from_1201_1250"
"bab","from_1201_1250"
"korom","from_1201_1250"
"lo","from_1201_1250"
"metsz","from_1201_1250"
"ocsú","from_1201_1250"
"szopik","from_1201_1250"
"táltos","from_1201_1250"
"szab","from_1201_1250"
"ró","from_1201_1250"
"szennyes","from_1201_1250"
"helyes","from_1201_1250"
"-cs","from_1201_1250"
"-talan/-telen ~ -tlan/-tlen","from_1201_1250"
"gyepu","from_1201_1250"
"nyest","from_1201_1250"
"gyep","from_1201_1250"
"mulat","from_1201_1250"
"üröm","from_1201_1250"
"utál","from_1201_1250"
"tarló","from_1201_1250"
"kopáncs","from_1201_1250"
"ékes","from_1201_1250"
"szó","from_1201_1250"
"ügy2","from_1201_1250"
"galád","from_1201_1250"
"baszik","from_1201_1250"
"rúg","from_1201_1250"
"gyanta","from_1201_1250"
"ék","from_1201_1250"
